release_id,label,is_compilation,format_size,format_raw
20706427,Not On Label,1,LP,"LP, Compilation, Unofficial Release, Stereo"
10730067,Casablanca,1,LP,"LP, Compilation"
624849,Som Livre,1,LP,"LP, Partially Mixed, Compilation"
1929627,Som Livre,1,LP,"LP, Compilation"
15157705,Furacão 2000,1,LP,"LP, Compilation"
1932210,Som Livre,1,LP,"LP, Partially Mixed, Compilation"
10764276,Abril Cultural,1,LP,"LP, Compilation"
2878655,EMI,1,LP,"LP, Compilation"
7861004,Som Livre,1,LP,"LP, Compilation, Stereo"
2440167,Epic,1,LP,"LP, Compilation"
1614989,WEA,1,LP,"LP, Compilation"
1364064,Som Livre,1,LP,"LP, Compilation"
23217800,PolyGram,1,LP,"LP, Compilation"
2216599,Som Livre,1,LP,"LP, Compilation"
2407203,Motown,1,LP,"LP, Compilation, Reissue"
455051,Som Livre,1,LP,"LP, Compilation"
1682407,Som Livre,1,LP,"LP, Compilation"
1794215,Som Livre,1,LP,"LP, Compilation"
19321081,Coronado (5),1,LP,"LP, Compilation, Stereo"
6692418,Top Tape,1,LP,"LP, Compilation"
2974300,Top Tape,1,LP,"LP, Compilation, Mixed"
557357,Motown,1,LP,"LP, Compilation, Mixed"
6520767,Abril Cultural,1,"10""","10"", Compilation"
801360,Abril Cultural,1,"10""","10"", Compilation"
6520599,Abril Cultural,1,"10""","10"", Compilation"
3082802,Som Livre,0,LP,"LP, Album, Mono"
2413837,Som Livre,1,LP,"LP, Compilation"
3832155,Epic,1,LP,"LP, Compilation, Reissue, Stereo"
1348063,Som Livre,1,LP,"LP, Compilation"
2533013,Som Livre,1,LP,"LP, Compilation"
10425667,RCA Victor,1,LP,"LP, Compilation, Mixed"
2766134,Philips,1,LP,"LP, Compilation, Promo"
9407009,BMG,1,LP,"LP, Compilation"
2413935,Som Livre,1,LP,"LP, Compilation"
2690919,Som Livre,1,LP,"LP, Compilation"
4197988,Top Tape,1,LP,"LP, Compilation, Stereo"
7321156,Top Tape,1,LP,"LP, Compilation"
5543958,Kelo Music,1,LP,"LP, Compilation"
31402985,WEA,1,Other,Compilation
5543852,Warner Bros. Records,1,LP,"LP, Compilation"
5743198,Epic,1,LP,"LP, Compilation"
4267914,Mercury,1,LP,"LP, Compilation, Mixed"
3050893,WEA,1,LP,"LP, Compilation"
2491153,Som Livre,1,LP,"LP, Compilation, Mixed, Stereo"
980226,Som Livre,1,LP,"LP, Compilation"
32557386,Not On Label (Vavá & Aldinho Self-Released),0,LP,"LP, Album"
2693391,Discos CBS,0,LP,"LP, Album, Stereo"
108884,Warner Bros. Records,0,LP,"LP, Album, Reissue"
3789842,RGE,0,LP,LP
2608515,RGE,0,LP,"LP, Album, Mono"
2329098,Philips,0,LP,"LP, Album"
